Section,Content
Verse 6,"[""Yeah, baby... when it comes to females, Cosmo ain't got nothin' to do with my selection."", '36-24-36?', 'Ha ha, only if she\'s 5\'3"".', ""So your girlfriend rolls a Honda, playin' workout tapes by Fonda"", ""But Fonda ain't got a motor in the back of her Honda"", ""My anaconda don't want none"", ""Unless you've got buns, hun"", 'You can do side bends or sit-ups,', ""But please don't lose that butt"", 'Some brothers wanna play that ""hard"" role', ""And tell you that the butt ain't gold"", 'So they toss it and leave it', 'And I pull up quick to retrieve it', ""So Cosmo says you're fat"", ""Well I ain't down with that!"", ""'Cause your waist is small and your curves are kickin'"", ""And I'm thinkin' bout stickin'"", 'To the beanpole dames in the magazines:', ""You ain't it, Miss Thing!"", ""Give me a sister, I can't resist her"", ""Red beans and rice didn't miss her"", 'Some knucklehead tried to diss', ""'Cause his girls are on my list"", ""He had game but he chose to hit 'em"", ""And I pull up quick to get wit 'em"", 'So ladies, if the butt is round,', 'And you want a triple X throw down,', 'Dial 1-900-MIXALOT', 'And kick them nasty thoughts']"
Verse 7,['(Little in the middle but she got much back)']
Chorus 1,(Yeah!)
Chorus 2,(Yeah!)
Chorus 3,Baby got back!
Chorus 4,(LA face with Oakland booty)
Chorus 5,Baby got back!
Chorus 6,(LA face with Oakland booty)
Chorus 7,(LA face with Oakland booty)
Chorus 8,(Yeah!)
Chorus 9,Baby got back!
Chorus 10,Baby got back!
Chorus 11,Baby got back!
Chorus 12,Baby got back!
Verse 1,"['Mmmm ..... Mmmmm.... Yeah....Mmmmm....Yeah, Yeah, Yeah']"
Verse 2,"[""Baby, I just don't get it""]"
Verse 3,['Do you enjoy being hurt?']
Verse 4,"['I know you smelled the perfume, the make-up on his shirt']"
Verse 5,"[""You don't believe his stories""]"
Verse 6,"[""You know that they're all lies""]"
Verse 7,"[""I'd be coming home (back to you)""]"
Verse 8,"[""Show you the way love's supposed to be""]"
Verse 9,"['Baby, you should let me love you, love you, love you']"
Verse 10,['Listen']
Verse 11,"[""Your true beauty's description looks so good that it hurts""]"
Verse 12,"[""You're a dime plus ninety-nine and it's a shame""]"
Verse 13,"[""Don't even know what you're worth""]"
Verse 14,['Everywhere you go they stop and stare']
Verse 15,"[""Cause you're bad and it shows""]"
Verse 16,"[""I'd be coming home (back to you)""]"
Verse 17,['Let me be the one to give you everything you want and need']
Verse 18,"[""Show you the way love's supposed to be""]"
Verse 19,['Baby you should let me....']
Verse 20,['You deserve better girl (you know you deserve better)']
Verse 21,['We should be together girl (baby)']
Verse 22,"[""With me and you it's whatever girl, hey!""]"
Verse 23,"[""Show you the way love's supposed to be""]"
Verse 24,['Let me be the one to give you everything you want and need']
Verse 25,['Let me be the one to give you everything you want and need']
Verse 26,['Good love and protection(protection)']
Verse 27,['Make me your selection(selection)']
Verse 28,"[""Show you the way love's supposed to be yeah""]"
Verse 29,"[""Let me love you that's all you need baby""]"
Pre-or-Post-Chorus 1,"Mmmm ..... Mmmmm.... Yeah....Mmmmm....Yeah, Yeah, Yeah"
Pre-or-Post-Chorus 2,If I was your man (baby you)
Pre-or-Post-Chorus 3,Never worry bout (what I do)
Pre-or-Post-Chorus 4,I'd be coming home (back to you)
Pre-or-Post-Chorus 5,You're the type of woman (deserves good thangs)
Pre-or-Post-Chorus 6,Fistful of diamonds (hand full of rings)
Pre-or-Post-Chorus 7,"Baby, you're a star (I just want to show you, you are)"
Pre-or-Post-Chorus 8,Baby good love and protection
Chorus 1,You should let me love you
Chorus 2,Let me be the one to give you everything you want and need
Chorus 3,Make me your selection
Chorus 4,Show you the way love's supposed to be
Chorus 5,You should let me love you
Chorus 6,Let me be the one to give you everything you want and need
Chorus 7,Make me your selection
Chorus 8,Show you the way love's supposed to be
Chorus 9,You should let me love you
Chorus 10,Let me be the one to give you everything you want and need
Chorus 11,Make me your selection
Chorus 12,Show you the way love's supposed to be
Chorus 13,Let me be the one to give you everything you want and need
Chorus 14,Make me your selection
Chorus 15,Show you the way love's supposed to be
Chorus 16,You should let me love you
Chorus 17,Let me be the one to give you everything you want and need
Verse 1,[]
Verse 2,['We sending this out to all the ladies all over the world']
Verse 3,['All the ladies all over the world']
Verse 4,['All my sexy mamas come on']
Verse 5,['Come on a come on now']
Verse 6,['As we proceed to give you what you need']
Verse 7,['Bump bump bump']
Verse 8,"['Bad boy, b2k, yo o, talk to em player']"
Verse 9,['I like your lil sexy style']
Verse 10,"[""I love it when you getting wil' (uh, i see you)""]"
Verse 11,['Girl in the club wit me']
Verse 12,"['(come over her let me talk to you for a minute, yeah']"
Verse 13,['I wanna tell you something)']
Verse 14,['Girl you need to be in magazines']
Verse 15,"[""Wit a crown on your head cause you's a ghetto queen""]"
Verse 16,"['Like bling bling bling (uh come on, you fine girl)']"
Verse 17,['The way you shakin that sexy (oh)']
Verse 18,['Body']
Verse 19,['Shaped like an hour glass (ow)']
Verse 20,['Can we spend some time']
Verse 21,"[""(yeah, lets do it ya'll)""]"
Verse 22,['I wanna get you to myself']
Verse 23,['You and me and nobody else']
Verse 24,['Yo do the things we do']
Verse 25,['Baby there is something that i need from you']
Verse 26,['And let me see that sexy body go']
Verse 27,"['That is all i want to see,']"
Verse 28,"['Baby turn around,']"
Verse 29,['Bump bump bump']
Verse 30,['I can take it']
Verse 31,['Come on']
Verse 32,['Girl why you teasin me']
Verse 33,"['You gonna have to stop pleasin me (stop teasin me, i want you)']"
Verse 34,"[""While we're on this floor""]"
Verse 35,['You takin it round and round']
Verse 36,['I love the way you put it down']
Verse 37,"[""You makin me scream for more (oh, gimme more, let s go, don't stop come on)""]"
Verse 38,['Put your 2way next to mine']
Verse 39,['Baby hit me anytime']
Verse 40,['Baby you and me behind close doors (oohh)']
Verse 41,['You about to be my main squeeze']
Verse 42,"['Take trips, cop shiny things']"
Verse 43,['Girl just come wit me']
Verse 44,"['That is all i want to see,']"
Verse 45,['I can take it']
Verse 46,"['(yeah, its bad boy baby, check this out']"
Verse 47,['They call me diddy)']
Verse 48,['Uh dance for nothin mami']
Verse 49,['Plans for take a mami']
Verse 50,['Get on the floor']
Verse 51,['Make it bump more']
Verse 52,['Shake it mami']
Verse 53,['Lets ride']
Verse 54,['Im your clyde']
Verse 55,['You can be my bonnie']
Verse 56,['See you type for me']
Verse 57,['Mami so right for me']
Verse 58,['Man she can move it']
Verse 59,['Love when she dance to the music']
Verse 60,['Make me wanna stand like a pool stick']
Verse 61,['Hands is the smoothest just a simple touch make me lose it']
Verse 62,"[""Girl, that's enough""]"
Verse 63,[]
Verse 64,['I pump that']
Verse 65,['Bump that']
Verse 66,['I want that']
Verse 67,['Du du du du duda du du du']
Verse 68,['So lets do it again mami']
Verse 69,['You and a friend mami']
Verse 70,['Money aint a thing mami']
Verse 71,['What i gotta spend mami']
Verse 72,['Put up you hands for me']
Verse 73,"[""That's how you dance for me""]"
Verse 74,['Shake it like you can hunni']
Verse 75,"['Baby turn around,']"
Verse 76,"['That is all i want to see,']"
Verse 77,['Baby show me (let me ya)']
Verse 78,"['Baby turn around, (b2k)']"
Verse 79,['And let me see that sexy body go (bad boy)']
Verse 80,['I can take it']
Verse 81,['I see you chris']
Verse 82,['Bump bump bump']
Verse 83,"[""Don't stop""]"
Verse 84,"['Lets go, lets go']"
Verse 85,['Lets go']
Verse 86,['And another one']
Verse 87,['Its pandamonium baby']
Pre-or-Post-Chorus 1,The way you throwin that thing at me
Pre-or-Post-Chorus 2,Bump that
Pre-or-Post-Chorus 3,Du du du du duda du du du
Pre-or-Post-Chorus 4,C'mon
Pre-or-Post-Chorus 5,Lets go
Chorus 1,Bump bump bump
Chorus 2,"Baby turn around,"
Chorus 3,And let me see that sexy body go
Chorus 4,"That is all i want to see,"
Chorus 5,"Baby turn around,"
Chorus 6,Bump bump bump
Chorus 7,I can take it
Chorus 8,"Baby turn around,"
Chorus 9,And let me see that sexy body go
Chorus 10,Bump bump bump
Chorus 11,"That is all i want to see,"
Chorus 12,"Baby turn around,"
Chorus 13,And let me see that sexy body go
Chorus 14,Bump bump bump
Chorus 15,I can take it
Chorus 16,"Baby turn around,"
Chorus 17,Bump bump bump
Chorus 18,"That is all i want to see,"
Chorus 19,I can take it
Chorus 20,Bump bump bump
Chorus 21,Bump bump bump
Verse 1,[]
Verse 2,"[""Ladies and gents, turn up your sound systems to the sound of Carlos Santana and the G&B, it's The Product of get-away blues from the refugee camp""]"
Verse 3,['She living a life just like a movie star']
Verse 4,['She fell in love in East L.A']
Verse 5,['Played by Carlos Santana']
Verse 6,"['Stop the looting, stop the shooting']"
Verse 7,['Pick pocking on the corner']
Verse 8,['See as the rich is getting richer']
Verse 9,['Thinking of ways to make it better']
Verse 10,"[""In my mailbox there's an eviction letter""]"
Verse 11,"['Signed by the judge, said, ""See you later.""']"
Verse 12,['Ahora vengo mama chola mama chola']
Verse 13,['Ahora vengo mama chola (East Coast)']
Verse 14,['Ahora vengo mama chola mama chola']
Verse 15,['Ahora vengo mama chola (West Coast)']
Verse 16,['She living a life just like a movie star']
Verse 17,['She fell in love in East L.A']
Verse 18,"['I said it to the sounds of the guitar, yeah, yeah']"
Verse 19,['Played by Carlos Santana']
Verse 20,['I said a la favella los colores']
Verse 21,['The streets are getting hotter']
Verse 22,['There is no water to put out the fire']
Verse 23,['Thinking of ways to make it better']
Verse 24,['Then I looked up in the sky']
Verse 25,['Hoping the days of paradise']
Verse 26,['Ahora vengo mama chola mama chola']
Verse 27,['Ahora vengo mama chola (North Side)']
Verse 28,['Ahora vengo mama chola mama chola']
Verse 29,['Ahora vengo mama chola (South Side)']
Verse 30,['Ahora vengo mama chola mama chola']
Verse 31,['Ahora vengo mama chola (world-wide)']
Verse 32,['Ahora vengo mama chola mama chola']
Verse 33,['Ahora vengo mama chola (open up your eyes)']
Verse 34,"[""Maria you know you're my lover""]"
Verse 35,['When the wind blows']
Verse 36,['I can feel you through the weather']
Verse 37,"[""And even when we're apart""]"
Verse 38,"[""Still feels like we're together""]"
Verse 39,['She living a life just like a movie star']
Verse 40,['She fell in love in East L.A']
Verse 41,['Played by Carlos Santana']
Verse 42,"[""Put 'em up, yo""]"
Verse 43,['Carlos Santana with the refugee camp']
Verse 44,"['Wyclef, Jerry Wonda, Mr. Santana, G&B']"
Verse 45,"[""Yo, Carlos, man, you're making that guitar cry""]"
Pre-or-Post-Chorus 1,Se mira Maria on the corner
Pre-or-Post-Chorus 2,Thinking of ways to make it better
Chorus 1,She remind me of a West Side story
Chorus 2,Growing up in Spanish Harlem
Chorus 3,She living a life just like a movie star
Chorus 4,She fell in love in East L.A
Chorus 5,Played by Carlos Santana
Chorus 6,She remind me of a West Side story
Chorus 7,Growing up in Spanish Harlem
Chorus 8,She living a life just like a movie star
Chorus 9,She fell in love in East L.A
Chorus 10,Played by Carlos Santana
Chorus 11,She remind me of a West Side story
Chorus 12,Growing up in Spanish Harlem
Chorus 13,She living a life just like a movie star
Chorus 14,She fell in love in East L.A
Chorus 15,Played by Carlos Santana
Verse 1,"['Oh, my, god.', 'Becky, look at her butt.', 'It is so big.', '[scoff]', ""She looks like one of those rap guys' girlfriends."", 'But, you know, who understands those rap guys?', '[scoff]', ""They only talk to her, because, she looks like a total prostitute, 'kay?"", 'I mean, her butt, is just so big.', ""I can't believe it's just so round, it's like, out there, I mean— gross."", 'Look!', ""She's just so... black!"", 'I like big butts and I can not lie', ""You other brothers can't deny"", 'That when a girl walks in with an itty bitty waist', 'And a round thing in your face', 'You get sprung, wanna pull up tough', ""'Cause you notice that butt was stuffed"", ""Deep in the jeans she's wearing"", ""I'm hooked and I can't stop staring"", 'Oh baby, I wanna get with you', 'And take your picture', 'My homeboys tried to warn me', 'But that butt you got makes me so horny', ""Ooh, Rump-o'-smooth-skin"", 'You say you wanna get in my Benz?', 'Well, use me, use me', ""'Cause you ain't that average groupie"", ""I've seen them dancin'"", ""To hell with romancin'"", ""She's sweat, wet,"", ""Got it goin' like a turbo 'Vette"", ""I'm tired of magazines"", ""Sayin' flat butts are the thing"", 'Take the average black man and ask him that', 'She gotta pack much back', 'So, fellas!']"
Verse 2,['Fellas!']
Verse 3,"['Has your girlfriend got the butt?', '(Hell yeah!)', ""Tell 'em to shake it!"", '(Shake it!)', 'Shake it!', '(Shake it!)', 'Shake that healthy butt!']"
Verse 4,"[""I like 'em round, and big"", ""And when I'm throwin' a gig"", ""I just can't help myself, I'm actin' like an animal"", ""Now here's my scandal"", 'I wanna get you home', 'And ugh, double-up, ugh, ugh', ""I ain't talkin' bout Playboy"", ""'Cause silicone parts are made for toys"", ""I want 'em real thick and juicy"", 'So find that juicy double', ""Mix-a-Lot's in trouble"", ""Beggin' for a piece of that bubble"", ""So I'm lookin' at rock videos"", ""Knock-kneed bimbos walkin' like hoes"", 'You can have them bimbos', ""I'll keep my women like Flo Jo"", 'A word to the thick soul sisters, I wanna get with ya', ""I won't cuss or hit ya"", 'But I gotta be straight when I say I wanna [moan]', 'Till the break of dawn', ""Baby got it goin' on"", ""A lot of simps won't like this song"", ""'Cause them punks like to hit it and quit it"", ""And I'd rather stay and play"", ""'Cause I'm long, and I'm strong"", ""And I'm down to get the friction on"", 'So, ladies!']"
Verse 5,"['Ladies!', '(Yeah)', 'If you wanna roll in my Mercedes (Yeah!)', 'Then turn around!', 'Stick it out!', 'Even white boys got to shout']"
Verse 6,"[""Yeah, baby... when it comes to females, Cosmo ain't got nothin' to do with my selection."", '36-24-36?', 'Ha ha, only if she\'s 5\'3"".', ""So your girlfriend rolls a Honda, playin' workout tapes by Fonda"", ""But Fonda ain't got a motor in the back of her Honda"", ""My anaconda don't want none"", ""Unless you've got buns, hun"", 'You can do side bends or sit-ups,', ""But please don't lose that butt"", 'Some brothers wanna play that ""hard"" role', ""And tell you that the butt ain't gold"", 'So they toss it and leave it', 'And I pull up quick to retrieve it', ""So Cosmo says you're fat"", ""Well I ain't down with that!"", ""'Cause your waist is small and your curves are kickin'"", ""And I'm thinkin' bout stickin'"", 'To the beanpole dames in the magazines:', ""You ain't it, Miss Thing!"", ""Give me a sister, I can't resist her"", ""Red beans and rice didn't miss her"", 'Some knucklehead tried to diss', ""'Cause his girls are on my list"", ""He had game but he chose to hit 'em"", ""And I pull up quick to get wit 'em"", 'So ladies, if the butt is round,', 'And you want a triple X throw down,', 'Dial 1-900-MIXALOT', 'And kick them nasty thoughts']"
Verse 7,['(Little in the middle but she got much back)']
Chorus 1,(Yeah!)
Chorus 2,(Yeah!)
Chorus 3,Baby got back!
Chorus 4,(LA face with Oakland booty)
Chorus 5,Baby got back!
Chorus 6,(LA face with Oakland booty)
Chorus 7,(LA face with Oakland booty)
Chorus 8,(Yeah!)
Chorus 9,Baby got back!
Chorus 10,Baby got back!
Chorus 11,Baby got back!
Chorus 12,Baby got back!
Verse 1,[]
Verse 2,['Shake that thing Miss Kana Kana']
Verse 3,['Shake that thing Miss Annabella']
Verse 4,['Shake that thing yan Donna Donna']
Verse 5,['Jodi and Rebecca']
Verse 6,['Girl its all good just turn me on']
Verse 7,"['Woman dont sweat it, dont get agitate just gwaan rotate']"
Verse 8,['Can anything you want you know you must get it']
Verse 9,['From you name a mentuin']
Verse 10,['Dont ease the tension just run the program gals wan pet it']
Verse 11,['Just have a good time']
Verse 12,['Gal free up unu mind caw nobody can dis you man wont let it can']
Verse 13,['You a the number one gal']
Verse 14,['Wave you hand']
Verse 15,['Girl its all good just turn me on']
Verse 16,['Its all good girl turn me on']
Verse 17,['til a early morn']
Verse 18,['lets get it on']
Verse 19,['lets get it on til a early morning']
Verse 20,['girl its all good just turn me on']
Verse 21,"['Yo, Shake that thing']"
Verse 22,['Miss Kana Kana shake that thing']
Verse 23,"['Yo, Annabella shake that thing']"
Verse 24,['Miss Donna Donna']
Verse 25,['Yo Miss Jodi yur di one and Rebecca shake that thing']
Verse 26,['Yo shake that thing']
Verse 27,['Yo Joanna shake that thing']
Verse 28,['Yo Annabella shake that think']
Verse 29,['Them cah vex with us']
Verse 30,['From the day me born jah ignite me flame']
Verse 31,['Girl its all good just turn me on']
Pre-or-Post-Chorus 1,When the beat drops
Pre-or-Post-Chorus 2,Just keep swinging it
Pre-or-Post-Chorus 3,Get jiggy
Pre-or-Post-Chorus 4,Get crunked up
Pre-or-Post-Chorus 5,Percolate anything you want to call it
Pre-or-Post-Chorus 6,Oscillate you hip and dont take pity
Pre-or-Post-Chorus 7,Me want fi see you get live pon the riddim when me ride
Pre-or-Post-Chorus 8,And me lyrics a provide electricity
Pre-or-Post-Chorus 9,Gal nobody can tell you nuttin
Pre-or-Post-Chorus 10,Can you done know your destiny
Pre-or-Post-Chorus 11,From the day me born jah ignite me flame gal a call me name and its me fame
Pre-or-Post-Chorus 12,Til a early morn
Pre-or-Post-Chorus 13,Lets get it on
Chorus 1,Yo sexy ladies want par with us
Chorus 2,In a the car with us
Chorus 3,Them nah war with us
Chorus 4,In a the club them want flex with us
Chorus 5,To get next to us
Chorus 6,Them cah vex with us
Chorus 7,Its all good girl turn me on
Chorus 8,Lets get it on til a early morning
Chorus 9,Girl its all good just turn me on
Chorus 10,Yo sexy ladies want par with us
Chorus 11,In a the car with us
Chorus 12,Them nah war with us
Chorus 13,In a the club them want flex with us
Chorus 14,To get next to us
Chorus 15,Them cah vex with us
Chorus 16,Its all good girl turn me on
Chorus 17,Lets get it on til a early morning
Chorus 18,Girl its all good just turn me on
Chorus 19,Yo sexy ladies want par with us
Chorus 20,In a the car with us
Chorus 21,Them nah war with us
Chorus 22,In a the club them want flex with us
Chorus 23,To get next to us
Chorus 24,Them cah vex with us
Chorus 25,Its all good girl turn me on
Chorus 26,Yo sexy ladies want par with us
Chorus 27,In a the car with us
Chorus 28,Them nah war with us
Chorus 29,In a the club them want flex with us
Chorus 30,To get next to us
Chorus 31,Them cah vex with us
Chorus 32,Its all good girl turn me on
Chorus 33,Lets get it on til a early morning
Chorus 34,Girl its all good just turn me on
Chorus 35,Lets get it on til a early morning
Chorus 36,Girl its all good just turn me on
Verse 1,[]
Verse 2,['We sending this out to all the ladies all over the world']
Verse 3,['All the ladies all over the world']
Verse 4,['All my sexy mamas come on']
Verse 5,['Come on a come on now']
Verse 6,['As we proceed to give you what you need']
Verse 7,['Bump bump bump']
Verse 8,"['Bad boy, b2k, yo o, talk to em player']"
Verse 9,['I like your lil sexy style']
Verse 10,"[""I love it when you getting wil' (uh, i see you)""]"
Verse 11,['Girl in the club wit me']
Verse 12,"['(come over her let me talk to you for a minute, yeah']"
Verse 13,['I wanna tell you something)']
Verse 14,['Girl you need to be in magazines']
Verse 15,"[""Wit a crown on your head cause you's a ghetto queen""]"
Verse 16,"['Like bling bling bling (uh come on, you fine girl)']"
Verse 17,['The way you shakin that sexy (oh)']
Verse 18,['Body']
Verse 19,['Shaped like an hour glass (ow)']
Verse 20,['Can we spend some time']
Verse 21,"[""(yeah, lets do it ya'll)""]"
Verse 22,['I wanna get you to myself']
Verse 23,['You and me and nobody else']
Verse 24,['Yo do the things we do']
Verse 25,['Baby there is something that i need from you']
Verse 26,[]
Verse 27,[]
Verse 28,"['Baby turn around,']"
Verse 29,['Bump bump bump']
Verse 30,[]
Verse 31,['Come on']
Verse 32,['Girl why you teasin me']
Verse 33,"['You gonna have to stop pleasin me (stop teasin me, i want you)']"
Verse 34,"[""While we're on this floor""]"
Verse 35,['You takin it round and round']
Verse 36,['I love the way you put it down']
Verse 37,"[""You makin me scream for more (oh, gimme more, let s go, don't stop come on)""]"
Verse 38,['Put your 2way next to mine']
Verse 39,['Baby hit me anytime']
Verse 40,['Baby you and me behind close doors (oohh)']
Verse 41,['You about to be my main squeeze']
Verse 42,"['Take trips, cop shiny things']"
Verse 43,['Girl just come wit me']
Verse 44,"['That is all i want to see,']"
Verse 45,['I can take it']
Verse 46,"['(yeah, its bad boy baby, check this out']"
Verse 47,['They call me diddy)']
Verse 48,['Uh dance for nothin mami']
Verse 49,['Plans for take a mami']
Verse 50,['Get on the floor']
Verse 51,['Make it bump more']
Verse 52,['Shake it mami']
Verse 53,['Lets ride']
Verse 54,['Im your clyde']
Verse 55,['You can be my bonnie']
Verse 56,['See you type for me']
Verse 57,['Mami so right for me']
Verse 58,['Man she can move it']
Verse 59,['Love when she dance to the music']
Verse 60,['Make me wanna stand like a pool stick']
Verse 61,['Hands is the smoothest just a simple touch make me lose it']
Verse 62,"[""Girl, that's enough""]"
Verse 63,[]
Verse 64,['I pump that']
Verse 65,['Bump that']
Verse 66,['I want that']
Verse 67,['Du du du du duda du du du']
Verse 68,['So lets do it again mami']
Verse 69,['You and a friend mami']
Verse 70,['Money aint a thing mami']
Verse 71,['What i gotta spend mami']
Verse 72,['Put up you hands for me']
Verse 73,"[""That's how you dance for me""]"
Verse 74,['Shake it like you can hunni']
Verse 75,"['Baby turn around,']"
Verse 76,"['That is all i want to see,']"
Verse 77,['Baby show me (let me ya)']
Verse 78,"['Baby turn around, (b2k)']"
Verse 79,['And let me see that sexy body go (bad boy)']
Verse 80,['I can take it']
Verse 81,['I see you chris']
Verse 82,['Bump bump bump']
Verse 83,"[""Don't stop""]"
Verse 84,"['Lets go, lets go']"
Verse 85,['Lets go']
Verse 86,['And another one']
Verse 87,['Its pandamonium baby']
Pre-or-Post-Chorus 1,And let me see that sexy body go
Pre-or-Post-Chorus 2,"That is all i want to see,"
Pre-or-Post-Chorus 3,I can take it
Pre-or-Post-Chorus 4,The way you throwin that thing at me
Pre-or-Post-Chorus 5,Bump that
Pre-or-Post-Chorus 6,Du du du du duda du du du
Pre-or-Post-Chorus 7,C'mon
Pre-or-Post-Chorus 8,Lets go
Chorus 1,Bump bump bump
Chorus 2,"Baby turn around,"
Chorus 3,"Baby turn around,"
Chorus 4,Bump bump bump
Chorus 5,"Baby turn around,"
Chorus 6,Bump bump bump
Chorus 7,"Baby turn around,"
Chorus 8,Bump bump bump
Chorus 9,"Baby turn around,"
Chorus 10,Bump bump bump
Chorus 11,Bump bump bump
Chorus 12,Bump bump bump
Verse 1,"['Mmmm ..... Mmmmm.... Yeah....Mmmmm....Yeah, Yeah, Yeah']"
Verse 2,"[""Baby, I just don't get it""]"
Verse 3,['Do you enjoy being hurt?']
Verse 4,"['I know you smelled the perfume, the make-up on his shirt']"
Verse 5,"[""You don't believe his stories""]"
Verse 6,"[""You know that they're all lies""]"
Verse 7,"[""I'd be coming home (back to you)""]"
Verse 8,"[""Show you the way love's supposed to be""]"
Verse 9,"['Baby, you should let me love you, love you, love you']"
Verse 10,['Listen']
Verse 11,"[""Your true beauty's description looks so good that it hurts""]"
Verse 12,"[""You're a dime plus ninety-nine and it's a shame""]"
Verse 13,"[""Don't even know what you're worth""]"
Verse 14,['Everywhere you go they stop and stare']
Verse 15,"[""Cause you're bad and it shows""]"
Verse 16,"[""I'd be coming home (back to you)""]"
Verse 17,['Let me be the one to give you everything you want and need']
Verse 18,"[""Show you the way love's supposed to be""]"
Verse 19,['Baby you should let me....']
Verse 20,['You deserve better girl (you know you deserve better)']
Verse 21,['We should be together girl (baby)']
Verse 22,"[""With me and you it's whatever girl, hey!""]"
Verse 23,"[""Show you the way love's supposed to be""]"
Verse 24,['Let me be the one to give you everything you want and need']
Verse 25,['Let me be the one to give you everything you want and need']
Verse 26,['Good love and protection(protection)']
Verse 27,['Make me your selection(selection)']
Verse 28,"[""Show you the way love's supposed to be yeah""]"
Verse 29,"[""Let me love you that's all you need baby""]"
Pre-or-Post-Chorus 1,"Mmmm ..... Mmmmm.... Yeah....Mmmmm....Yeah, Yeah, Yeah"
Pre-or-Post-Chorus 2,If I was your man (baby you)
Pre-or-Post-Chorus 3,Never worry bout (what I do)
Pre-or-Post-Chorus 4,I'd be coming home (back to you)
Pre-or-Post-Chorus 5,You're the type of woman (deserves good thangs)
Pre-or-Post-Chorus 6,Fistful of diamonds (hand full of rings)
Pre-or-Post-Chorus 7,"Baby, you're a star (I just want to show you, you are)"
Pre-or-Post-Chorus 8,Baby good love and protection
Chorus 1,You should let me love you
Chorus 2,Let me be the one to give you everything you want and need
Chorus 3,Make me your selection
Chorus 4,Show you the way love's supposed to be
Chorus 5,You should let me love you
Chorus 6,Let me be the one to give you everything you want and need
Chorus 7,Make me your selection
Chorus 8,Show you the way love's supposed to be
Chorus 9,You should let me love you
Chorus 10,Let me be the one to give you everything you want and need
